testaccom_id,accomodation,accom_location,destination,accom_stars,accom_type,accom_board_basis,staff_pick,trip_adv_rating,trip_adv_reviews,has_swimming_pool,has_sauna,has_jacuzzi,has_tv_in_room,has_air_conditioning,has_wifi,has_hot_tub,has_lift,suitable_for_children,has_child_care,has_bar,has_sea_view,close_to_resort,departure_airport,travel_date,booking_date,day_booked_before_travel,holiday_duration,price_per_person
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-01-28,95,7,1069
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-03-02,62,7,1059
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-01-15,108,7,1304
INSOHP,Grand Hotel Parco del Sole,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Bed & Breakfast,0,,,1,0,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-03,2015-03-07,57,7,745.01
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-03-02,62,7,1280.41
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-03-24,40,7,1099
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-02-04,88,7,1099
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-01-17,106,7,1234
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-02-03,89,7,1076.33
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-03-19,45,7,1059
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-02-03,89,7,1099
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-03-18,46,7,843
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-04-09,24,7,1194
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-03-25,39,7,1039.2
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-03,2015-03-24,40,7,804
VPMABA,Hotel Baia Azul,Funchal,Madeira,4,Hotel,Bed & Breakfast,0,4.5,367,1,1,0,1,1,0,0,0,0,0,1,1,0,DUB,2015-05-07,2015-04-17,20,7,594.79
VPMAAF,Dorisol Florasol,Funchal,Madeira,3,Hotel,Bed & Breakfast,0,,,1,1,1,1,0,0,0,0,0,0,0,1,1,DUB,2015-05-07,2015-04-16,21,7,379
VPMAPC,Pestana Casino Park,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,4,3152,1,1,1,1,1,0,0,0,0,0,1,1,1,DUB,2015-05-07,2015-04-28,9,7,549.22
VPMAPC,Pestana Casino Park,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,4,3152,1,1,1,1,1,0,0,0,0,0,1,1,1,DUB,2015-05-07,2015-04-04,33,7,549.22
VPMAPC,Pestana Casino Park,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,4,3152,1,1,1,1,1,0,0,0,0,0,1,1,1,DUB,2015-05-07,2015-04-04,33,7,624.22
VPMAPC,Pestana Casino Park,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,4,3152,1,1,1,1,1,0,0,0,0,0,1,1,1,DUB,2015-05-07,2015-04-02,35,7,692.56
VPMABA,Hotel Baia Azul,Funchal,Madeira,4,Hotel,Bed & Breakfast,0,4.5,367,1,1,0,1,1,0,0,0,0,0,1,1,0,DUB,2015-05-07,2015-04-29,8,7,580.01
VPMAAF,Dorisol Florasol,Funchal,Madeira,3,Hotel,Bed & Breakfast,0,,,1,1,1,1,0,0,0,0,0,0,0,1,1,DUB,2015-05-07,2015-04-28,9,7,579.88
VPMAPC,Pestana Casino Park,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,4,3152,1,1,1,1,1,0,0,0,0,0,1,1,1,DUB,2015-05-07,2015-04-15,22,7,555.67
VPMADM,Dorisol Mimosa,Funchal,Madeira,3,Hotel,Bed & Breakfast,0,,,1,1,1,1,0,0,0,0,0,0,1,1,1,DUB,2015-05-07,2015-03-11,57,7,489
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-09,2015-04-04,35,7,648
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-09,2015-04-07,32,7,569
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-09,2015-04-07,32,7,599
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-09,2015-04-07,32,7,679.37
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-09,2015-04-08,31,7,660
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-09,2015-04-10,29,7,599
IGDOVR,Villa Rosa Hotel,Desenzano,Lake Garda,4,Hotel,Bed & Breakfast,0,4.5,917,1,0,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-09,2015-01-21,108,7,1080
IGDOMS,Hotel Mayer et Splendid,Desenzano,Lake Garda,3,Hotel,Bed & Breakfast,0,4.5,334,0,0,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-09,2015-02-19,79,7,819
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-09,2015-03-25,45,7,703
IGPABI,Bella Italia: Bungalows,Peschiera,Lake Garda,4,Holiday Homes,Self-Catering,0,4.5,257,1,0,0,1,1,1,0,0,1,0,1,0,1,DUB,2015-05-09,2015-02-23,75,7,456
IGDOVR,Villa Rosa Hotel,Desenzano,Lake Garda,4,Hotel,Bed & Breakfast,0,4.5,917,1,0,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-09,2015-01-26,103,7,994
IGSESP,Hotel Sirmione e Promessi Sposi,Sirmione,Lake Garda,4,Hotel,Bed & Breakfast,0,,,1,1,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-09,2015-02-24,74,7,920.9
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-09,2015-04-10,29,7,595.37
IGPABI,Bella Italia: Bungalows,Peschiera,Lake Garda,4,Holiday Homes,Self-Catering,0,4.5,257,1,0,0,1,1,1,0,0,1,0,1,0,1,DUB,2015-05-09,2015-01-28,101,7,559
IGLEVD,Hotel Villa Dirce,Limone,Lake Garda,4,Hotel,Half Board,0,4,313,1,0,1,1,1,1,0,0,0,0,1,0,0,DUB,2015-05-09,2015-01-29,100,7,679
IGRASP,Hotel Savoy Palace,Riva,Lake Garda,4,Hotel,Half Board,0,4.5,1431,1,1,1,1,1,1,0,1,1,0,1,0,0,DUB,2015-05-09,2015-01-14,115,7,829
IGPABI,Bella Italia: Bungalows,Peschiera,Lake Garda,4,Holiday Homes,Self-Catering,0,4.5,257,1,0,0,1,1,1,0,0,1,0,1,0,1,DUB,2015-05-09,2015-05-01,8,7,298.81
IGLEGB,Hotel Garda Bellevue Wellness,Limone,Lake Garda,4,Hotel,Half Board,0,3.5,182,1,1,1,1,1,1,0,0,0,0,1,0,0,DUB,2015-05-09,2015-03-12,58,7,699
IGRASP,Hotel Savoy Palace,Riva,Lake Garda,4,Hotel,Half Board,0,4.5,1431,1,1,1,1,1,1,0,1,1,0,1,0,0,DUB,2015-05-09,2015-03-24,46,7,880.29
IGSESP,Hotel Sirmione e Promessi Sposi,Sirmione,Lake Garda,4,Hotel,Bed & Breakfast,0,,,1,1,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-09,2015-01-14,115,7,867
IGDOHB,Hotel Benaco,Desenzano,Lake Garda,3,Hotel,Bed & Breakfast,0,4.5,617,1,0,1,1,1,1,0,0,0,0,0,0,1,DUB,2015-05-09,2015-02-13,85,7,719
IGPABI,Bella Italia: Bungalows,Peschiera,Lake Garda,4,Holiday Homes,Self-Catering,0,4.5,257,1,0,0,1,1,1,0,0,1,0,1,0,1,DUB,2015-05-09,2015-05-02,7,7,298.81
IGDOVR,Villa Rosa Hotel,Desenzano,Lake Garda,4,Hotel,Bed & Breakfast,0,4.5,917,1,0,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-09,2015-02-13,85,7,1125.67
IGGAVM,Villa Madrina,Garda,Lake Garda,4,Hotel,Bed & Breakfast,0,,,1,1,1,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-09,2015-03-26,44,7,1203.63
IGDOPH,Palace Hotel,Desenzano,Lake Garda,4,Hotel,Bed & Breakfast,0,,,1,1,0,1,1,1,0,1,0,0,1,0,0,DUB,2015-05-09,2015-03-24,46,7,897.35
IGRAAP,Astoria Park Hotel Spa & Resort,Riva,Lake Garda,4,Hotel,Half Board,0,4,991,1,1,0,1,1,0,0,1,0,0,1,0,1,DUB,2015-05-09,2015-02-11,87,7,835
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2014-10-31,191,7,1245.33
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-02-02,97,7,979
INSOHP,Grand Hotel Parco del Sole,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Bed & Breakfast,0,,,1,0,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-10,2015-01-21,109,7,878.74
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-11,29,7,1038.77
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-11,29,7,998.77
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-13,27,7,799
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-02-25,74,7,829
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-20,51,7,1200.83
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-13,27,7,992.52
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-12,28,7,1028.77
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-12,28,7,844
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-04,67,7,1084
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-02,38,7,1144.67
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-15,25,7,769
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-02-26,73,7,1200.83
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-01-30,100,7,1049
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-15,56,7,994
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-27,13,7,834
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-27,13,7,978.77
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-29,11,7,978.77
INSOM,Hotel Minerva,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,,,1,0,1,1,1,1,0,1,0,0,0,0,1,DUB,2015-05-10,2015-01-31,99,7,1259
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-19,52,7,1205.67
INSOF,Grand Hotel La Favorita,Sorrento,Sorrento and Amalfi Coast,5,Hotel,Bed & Breakfast,0,5,1825,1,0,0,1,1,1,0,1,0,0,1,0,1,DUB,2015-05-10,2015-03-05,66,7,1364
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-10,61,7,1314.6
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-07,64,7,1014
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-05-02,8,7,944
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-25,46,7,1145.67
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-12,59,7,1014
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-21,50,7,1205.83
INSOHM,Hotel Metropole,Sorrento,Sorrento and Amalfi Coast,3,Hotel,Bed & Breakfast,0,3.5,406,1,0,0,1,1,1,0,0,0,0,1,0,1,DUB,2015-05-10,2015-04-07,33,7,809
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-02-09,90,7,1239.33
INSOTB,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,1,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-23,48,7,1170.83
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-03,37,7,1226.89
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-03-24,47,7,1014
INSOH,Hotel Bristol,Sorrento,Sorrento and Amalfi Coast,4,Hotel,Half Board,0,4.5,2576,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-10,2015-04-11,29,7,1023.89
VPMAMM,Madeira Regency Palace Hotel,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,,,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-14,2015-03-31,44,7,639.22
VPMAME,Hotel Melia Madeira Mare,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,4.5,1964,1,1,1,1,1,1,0,1,0,1,1,1,1,DUB,2015-05-14,2015-04-19,25,7,699.58
VPMAAL,Hotel Alto Lido,Funchal,Madeira,4,Hotel,Bed & Breakfast,0,3.5,632,1,0,1,1,1,1,0,0,0,0,1,1,1,DUB,2015-05-14,2015-03-13,62,7,644
VPMAAL,Hotel Alto Lido,Funchal,Madeira,4,Hotel,Bed & Breakfast,0,3.5,632,1,0,1,1,1,1,0,0,0,0,1,1,1,DUB,2015-05-14,2015-03-14,61,7,664
VPMAME,Hotel Melia Madeira Mare,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,4.5,1964,1,1,1,1,1,1,0,1,0,1,1,1,1,DUB,2015-05-14,2015-04-10,34,7,783.59
VPMAMM,Madeira Regency Palace Hotel,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,,,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-14,2015-03-30,45,7,639
VPMAMM,Madeira Regency Palace Hotel,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,,,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-14,2015-03-30,45,7,639.22
VPMAMM,Madeira Regency Palace Hotel,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,,,1,1,1,1,1,1,0,1,0,0,1,1,1,DUB,2015-05-14,2015-03-24,51,7,714.22
VPMAME,Hotel Melia Madeira Mare,Funchal,Madeira,5,Hotel,Bed & Breakfast,0,4.5,1964,1,1,1,1,1,1,0,1,0,1,1,1,1,DUB,2015-05-14,2015-01-20,114,7,1105
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-06,40,7,671.5
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-07,39,7,599
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-07,39,7,670
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-07,39,7,787
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-07,39,7,659.97
IGLESP,Hotel Splendid Palace,Limone,Lake Garda,4,Hotel,Half Board,0,4.5,634,1,1,1,1,1,1,0,1,0,0,1,0,1,DUB,2015-05-16,2015-04-09,37,7,827
IGPABI,Bella Italia: Bungalows,Peschiera,Lake Garda,4,Holiday Homes,Self-Catering,0,4.5,257,1,0,0,1,1,1,0,0,1,0,1,0,1,DUB,2015-05-16,2015-02-16,89,7,439
IGPABI,Bella Italia: Bungalows,Peschiera,Lake Garda,4,Holiday Homes,Self-Catering,0,4.5,257,1,0,0,1,1,1,0,0,1,0,1,0,1,DUB,2015-05-16,2015-04-12,34,7,348
IGLEVD,Hotel Villa Dirce,Limone,Lake Garda,4,Hotel,Half Board,0,4,313,1,0,1,1,1,1,0,0,0,0,1,0,0,DUB,2015-05-16,2015-02-17,88,7,699
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-03-25,52,7,759.97
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-08,38,7,659.97
IGRASP,Hotel Savoy Palace,Riva,Lake Garda,4,Hotel,Half Board,0,4.5,1431,1,1,1,1,1,1,0,1,1,0,1,0,0,DUB,2015-05-16,2015-04-16,30,7,772
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-15,31,7,708
IGLESP,Hotel Splendid Palace,Limone,Lake Garda,4,Hotel,Half Board,0,4.5,634,1,1,1,1,1,1,0,1,0,0,1,0,1,DUB,2015-05-16,2015-04-13,33,7,825.02
IGRAAP,Astoria Park Hotel Spa & Resort,Riva,Lake Garda,4,Hotel,Half Board,0,4,991,1,1,0,1,1,0,0,1,0,0,1,0,1,DUB,2015-05-16,2015-01-07,129,7,1012.8
IGPABI,Bella Italia: Bungalows,Peschiera,Lake Garda,4,Holiday Homes,Self-Catering,0,4.5,257,1,0,0,1,1,1,0,0,1,0,1,0,1,DUB,2015-05-16,2015-04-13,33,7,639.51
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-25,21,7,688.12
IGMEMP,Hotel Majestic Palace,Malcesine,Lake Garda,4,Hotel,Half Board,0,4.5,427,1,1,1,1,0,0,0,1,1,0,0,0,0,DUB,2015-05-16,2015-04-16,30,7,498.33
